Depth CSF-A (m),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*,Porosity (vol%)
0.0010084365594639,0.2494072511944335,0.4949367088607594,0.4717607973421927,0.462992125984252,66.1
0.0010136346860591,0.372937293729373,0.3632911392405064,0.2591362126245847,0.3811023622047244,55.8
0.0010136346860591,0.0422251611442732,0.3860759493670886,0.388704318936877,0.3763779527559055,74.6
0.0010604178254157,0.2465477594690877,0.5570886075949367,0.3043189368770764,0.4603149606299213,63.6
0.0010604178254157,0.210804112902265,0.54,0.3790697674418604,0.5288188976377953,63.9
0.0010604178254157,0.2536964887824522,0.6025316455696202,0.3614617940199335,0.5133858267716536,69.6
0.0010604178254157,0.289440135349275,0.5988607594936709,0.3641196013289036,0.4970078740157481,66.7
0.0010604178254157,0.2060382933600219,0.6767088607594937,0.3943521594684385,0.5617322834645669,66.1
0.0010604178254157,0.3275666916872193,0.6000000000000001,0.3717607973421926,0.5155905511811023,62.9
0.0010604178254157,0.3919052555075002,0.6283544303797469,0.3913621262458471,0.5694488188976379,73.0
0.0011851728636999,0.3620235669776364,0.3626582278481013,0.2923588039867109,0.3428346456692913,65.4
0.0012111634966757,0.5702183936805233,0.4810126582278482,0.3056478405315614,0.2929133858267717,51.4
0.0012267578764613,0.5923079672588197,0.281012658227848,0.3023255813953488,0.4251968503937008,65.8
0.0012423522562468,0.3735925939164314,0.2417721518987341,0.388704318936877,0.3464566929133859,71.4
0.0012995316487937,0.3380991528755764,0.4164556962025316,0.2458471760797342,0.4015748031496063,58.8
0.0013099279019841,0.3310219108553455,0.4278481012658228,0.415282392026578,0.3590551181102362,61.0
0.0013099279019841,0.2301175965972048,0.3784810126582278,0.2524916943521594,0.4346456692913386,56.8
0.0013099279019841,0.3380991528755764,0.4164556962025316,0.2458471760797342,0.4015748031496063,58.5
0.0013255222817696,0.0704149837366408,0.3430379746835443,0.3720930232558139,0.3874015748031496,78.6
0.00133591853496,0.1728562747971548,0.3430379746835443,0.3421926910299003,0.4440944881889764,72.5
0.0013775035477214,0.3139841059918267,0.4075949367088608,0.4883720930232558,0.4866141732283464,70.1
0.0013827016743165,0.4051542338349359,0.3221518987341772,0.3189368770764119,0.314488188976378,51.7
0.0014086923072924,0.1058488520332177,0.3620253164556962,0.3289036544850498,0.4141732283464567,68.8
0.0014138904338876,0.2309397004682418,0.5000000000000001,0.4385382059800664,0.3338582677165355,78.3
0.001455475446649,0.3594500244248252,0.3556962025316456,0.2093023255813953,0.4173228346456693,57.5
0.0014918623328152,0.3954677056153269,0.3962025316455696,0.2857142857142857,0.3401574803149606,51.2
0.0015282492189814,0.1591307145154948,0.3240506329113923,0.3521594684385382,0.4503937007874016,72.0
0.0015542398519573,0.0204572803850782,0.4063291139240506,0.3853820598006644,0.4267716535433071,77.0
0.0015906267381235,0.2330843192622512,0.4886075949367089,0.46843853820598,0.4220472440944882,67.4
0.0016062211179091,0.4100749425123018,0.3505063291139241,0.3046511627906976,0.3414173228346457,62.4
0.0016218154976946,0.1570694975634747,0.5734177215189874,0.4883720930232558,0.4976377952755906,67.4
0.0016218154976946,0.245475450072083,0.4759493670886076,0.5647840531561461,0.494488188976378,68.5
0.0016218154976946,0.0815312578189226,0.7075949367088608,0.4451827242524916,0.5401574803149607,80.6
0.0016478061306705,0.3481788612074204,0.0227848101265822,0.3328318319807385,0.1464566929133858,72.0
0.0016841930168367,0.0516257401913476,0.3265822784810127,0.3654485049833886,0.4141732283464567,72.8
0.0017361742827884,0.2403521940641718,0.4455696202531646,0.6345514950166112,0.4283464566929134,68.2
0.0017881555487402,0.3013546842048826,0.5389873417721519,0.306312292358804,0.4760629921259842,65.8
0.0018089480551209,0.4004777734091099,0.4126582278481012,0.2757475083056478,0.3244094488188976,49.1
0.0018401368146919,0.2012724738177789,0.6469620253164557,0.3930232558139534,0.5719685039370079,64.0
0.0018401368146919,0.3418641503139484,0.6360759493670887,0.307641196013289,0.4910236220472441,63.7
0.0018401368146919,0.2322503008423586,0.619746835443038,0.3455149501661129,0.4968503937007874,64.0
0.0018401368146919,0.215569932444508,0.5529113924050634,0.4827242524916943,0.631496062992126,62.2
0.0018401368146919,0.4586267290989027,0.5788607594936709,0.3853820598006644,0.5788976377952757,63.7
0.0018401368146919,0.5086678342924544,0.5940506329113925,0.321594684385382,0.4815748031496063,65.3
0.0018869199540485,0.6783905827405846,0.4278481012658228,0.3122923588039867,0.2708661417322835,43.3
