Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
176.4,53.3,12.0,53.64,-0.96,5.22
176.4,53.3,12.0,53.64,-0.96,5.22
176.48,53.3,38.63,42.0,-0.4,0.3
176.55,77.4,18.55,42.6,-0.2,1.9
176.58,63.7,23.31,52.8,-0.1,-1.1
176.7,50.8,20.8,61.98,-0.56,10.67
176.8,57.6,24.8,52.4,-0.34,10.3
176.8,57.6,24.8,52.4,-0.34,10.3
176.99,57.5,26.08,60.2,0.7,-0.6
177.08,73.5,28.98,47.1,-1.0,0.4
177.14,59.0,20.044,50.2,1.4,4.4
177.18,56.0,27.4,56.0,-1.2,0.3
177.3,52.9,25.0,59.08,-0.1,10.45
177.41,65.6,25.99,50.5,3.0,15.1
177.5,55.0,22.83,45.4,-0.2,1.1
177.58,80.2,16.88,36.6,-1.0,2.4
177.58,57.9,12.99,59.7,14.4,-18.0
177.65,48.7,44.983,43.2,0.1,-0.4
177.65,48.7,44.983,43.2,0.1,-0.4
177.73,51.5,8.1,66.7,6.0,4.1
177.86,44.6,63.204,49.5,-1.3,0.5
177.88,44.0,63.204,49.5,-1.3,0.5
177.88,44.0,63.204,49.5,-1.3,0.5
178.08,62.7,23.52,57.1,0.9,-3.3
178.2,61.8,23.2,58.82,-0.33,10.63
178.28,44.4,62.163,43.0,-1.0,0.5
178.3,56.9,28.6,53.4,-0.5,10.06
178.41,42.8,63.277,41.1,-0.6,-1.8
178.48,41.2,59.623,47.5,-1.4,1.7
178.49,58.3,29.11,62.0,0.3,-2.5
178.58,71.9,30.26,48.5,-0.6,-1.3
178.68,56.8,27.99,54.4,0.3,-1.4
178.69,46.2,5.26,51.7,4.7,4.7
178.79,48.7,10.94,49.0,2.2,4.9
178.89,62.9,24.93,48.1,3.8,16.4
179.08,79.4,18.13,45.6,-0.2,-1.3
179.09,42.9,63.79,44.2,-1.2,-0.7
179.1,55.8,20.2,59.21,-0.53,10.2
179.14,62.6,20.9,53.4,0.5,0.7
179.26,57.7,13.44,54.8,4.1,-3.3
179.35,56.2,21.214,49.8,1.5,8.7
179.48,47.8,46.41,35.19,0.72,-0.74
179.8,58.4,27.6,51.23,-0.03,9.66
179.84,49.4,5.46,55.7,4.6,4.3
179.88,49.0,40.707,40.63,0.45,-0.44
179.92,59.9,23.69,50.2,4.1,18.1
179.98,71.9,31.7,47.5,-0.9,0.9
179.99,56.5,26.82,58.0,-1.1,0.0
180.14,59.0,27.858,51.5,1.0,6.6
180.18,55.5,29.29,56.4,-0.2,-1.3
180.18,57.3,22.78,60.9,0.8,-1.1
180.2,57.7,22.4,59.65,-0.29,13.1
180.22,25.1,15.6,61.97,3.04,13.26
180.3,57.6,36.8,46.38,2.45,9.05
180.58,79.0,19.08,45.9,-0.1,1.4
180.87,52.8,14.74,61.6,12.3,-18.1
181.01,47.8,35.761,43.55,1.38,-0.73
181.1,71.1,30.27,44.9,-0.3,-1.8
181.1,57.1,25.7,54.2,-0.7,0.9
181.29,51.2,12.16,48.7,2.2,7.0
181.3,58.4,32.8,55.06,-0.21,10.29
181.39,49.7,4.32,62.3,5.3,2.6
181.68,55.0,27.6,59.6,0.1,-1.8
181.7,56.8,24.12,53.3,0.5,0.5
181.7,52.6,20.0,57.53,-0.08,8.83
181.96,47.4,42.84,45.3,2.5,3.7
181.96,47.4,42.84,45.3,2.5,3.7
182.0,64.7,33.64,38.2,10.2,19.2
182.08,46.9,41.254,41.71,0.58,1.43
182.08,75.1,20.93,52.4,0.3,-0.5
182.13,69.1,30.26,49.0,-0.5,-1.6
182.2,56.1,23.17,65.0,0.2,0.1
182.35,55.7,23.754,52.1,1.3,8.2
182.47,45.0,50.442,42.1,0.4,-2.5
182.63,52.9,29.907,50.7,3.6,9.5
182.8,56.6,29.4,50.7,-0.68,9.09
182.86,46.5,8.83,67.9,7.8,7.5
183.18,54.7,25.02,57.7,-0.3,-1.1
183.2,61.1,21.8,59.13,-0.59,12.92
183.23,55.5,25.18,52.1,0.2,0.0
183.29,48.2,46.123,44.2,0.4,-0.8
183.39,57.0,23.48,57.4,0.0,2.5
183.46,58.0,24.077,47.5,0.9,6.3
183.46,71.0,28.15,39.4,8.6,13.2
183.57,69.5,34.6,40.4,0.7,-0.9
183.58,78.8,18.86,48.3,0.5,-0.7
183.95,49.7,10.101,64.5,2.4,9.9
184.13,47.2,34.818,38.75,1.05,2.42
184.2,54.2,22.6,57.26,-0.72,10.27
184.25,49.8,36.448,47.4,2.8,8.8
184.3,57.4,33.0,55.54,-0.2,10.75
184.32,51.8,4.96,69.4,6.3,6.3
184.33,56.5,28.01,58.6,0.3,1.0
184.45,66.8,27.12,21.2,10.7,18.2
184.68,57.5,25.74,59.2,0.4,-3.6
184.7,63.2,23.8,58.11,-0.5,11.02
184.73,55.1,18.951,41.4,1.2,6.8
184.73,55.1,18.951,41.4,1.2,6.8
184.73,56.8,5.57,78.1,14.8,-14.9
184.73,56.8,5.57,78.1,14.8,-14.9
184.95,78.9,17.82,48.1,-0.2,0.7
184.95,78.9,17.82,48.1,-0.2,0.7
185.01,69.3,32.04,46.3,-0.6,-0.3
185.11,56.9,25.26,57.7,-0.8,-1.4
185.2,59.0,26.0,53.16,-0.19,10.34
185.2,59.0,26.0,53.16,-0.19,10.34
185.235,69.4,20.12,40.6,8.6,11.0
185.24,57.3,18.775,47.6,1.0,7.2
185.35,46.5,53.38,49.1,0.2,-1.3
185.35,46.5,53.38,49.1,0.2,-1.3
185.41,13.4,15.6,61.97,3.04,13.26
185.41,13.4,15.6,61.97,3.04,13.26
185.46,45.7,37.899,40.98,0.87,2.74
185.7,50.6,20.2,58.81,-1.18,9.77
185.71,55.6,26.74,59.2,0.0,0.2
185.73,55.6,25.238,54.9,2.8,10.4
185.82,51.1,4.95,84.3,9.3,4.8
185.97,60.5,5.94,73.4,8.3,7.0
186.0,58.8,26.971,49.1,1.6,11.0
186.07,79.0,18.51,42.9,0.5,-0.1
186.18,56.7,25.48,51.8,-0.3,-0.8
186.2,58.8,23.0,56.78,-0.48,10.92
186.3,60.0,26.8,53.46,-0.26,10.01
186.36,58.3,23.29,46.3,0.6,-0.3
186.58,70.1,35.24,45.4,-0.8,0.2
186.65,58.7,18.001,52.8,1.4,6.0
186.66,46.6,12.344,14.5,1.9,-3.4
187.07,55.0,26.83,61.5,0.9,0.0
187.08,79.1,15.76,38.2,-0.6,3.1
187.14,45.8,18.4,48.52,-1.76,5.35
187.2,51.4,23.4,63.09,-0.44,9.64
187.22,57.1,25.444,54.9,3.0,10.8
187.3,52.3,6.01,82.5,8.5,5.2
187.44,52.9,5.7,76.9,13.4,-14.8
187.52,64.6,25.15,31.1,18.0,40.6
187.52,64.6,25.15,31.1,18.0,40.6
187.63,55.9,25.05,58.3,0.3,-1.7
187.66,55.1,24.45,59.2,0.4,-1.7
187.7,61.2,20.8,61.81,-0.25,11.95
187.8,59.6,25.0,49.47,-0.31,9.58
187.87,45.8,51.735,52.4,0.0,-1.4
187.87,45.8,51.735,52.4,0.0,-1.4
188.08,70.0,33.62,49.9,-0.3,-2.0
188.15,78.9,16.63,41.4,-1.3,2.3
188.24,56.0,25.26,59.3,0.5,0.5
188.325,66.6,24.15,43.2,13.4,16.9
188.45,50.7,12.654,39.4,1.5,4.1
188.5,40.8,67.488,34.8,0.1,-2.4
188.7,49.1,20.2,64.67,-0.49,10.6
188.74,57.2,3.59,81.7,7.3,-1.7
188.76,57.2,26.15,51.8,-0.9,1.2
188.8,54.5,19.604,45.6,1.3,9.0
188.86,49.6,17.6,48.17,-1.63,7.87
188.97,52.6,27.044,46.7,2.6,9.6
189.3,59.9,28.2,53.24,0.09,10.01
189.3,59.9,28.2,53.24,0.09,10.01
189.38,56.1,25.43,60.3,0.7,-0.8
189.45,67.2,43.52,43.7,0.0,-0.7
189.55,55.0,24.43,59.8,1.8,-3.0
189.61,55.4,22.45,58.3,-0.6,-0.5
189.64,51.3,9.63,65.9,8.0,11.9
189.65,58.2,16.114,52.0,1.4,6.2
189.66,78.3,19.35,50.9,0.5,-1.6
189.7,54.7,22.0,59.25,-0.52,12.89
189.94,50.4,17.4,54.6,-0.86,8.14
190.2,47.5,23.6,59.74,-0.81,10.71
190.41,51.3,25.068,55.4,3.2,12.1
190.42,55.7,23.96,62.9,0.1,-2.9
190.66,55.6,27.01,48.9,-1.1,-0.2
190.74,57.2,3.23,90.1,13.4,-10.7
190.78,55.5,22.25,58.1,0.2,-1.5
190.8,59.8,26.8,53.31,-0.05,9.15
190.8,59.8,26.8,53.31,-0.05,9.15
190.84,34.6,12.0,53.64,-0.96,5.22
190.84,34.6,12.0,53.64,-0.96,5.22
190.86,66.4,36.88,45.5,-0.2,-0.2
191.07,48.9,18.8,54.39,-1.06,7.65
191.1,53.0,25.4,64.65,-0.93,7.27
191.1,50.4,7.34,79.7,9.8,8.7
191.18,79.4,19.07,45.1,0.3,0.2
191.2,52.9,24.6,57.37,-0.47,13.02
191.44,49.1,13.621,48.1,2.2,8.2
191.58,55.2,14.8,64.6,0.1,0.6
191.77,57.0,4.19,53.5,14.5,-16.5
191.84,54.0,20.538,56.4,2.9,10.7
191.87,53.7,29.104,43.3,1.7,3.1
191.92,56.2,23.97,60.0,-0.6,-1.6
191.95,55.2,25.37,59.0,0.0,-0.7
192.15,55.3,24.51,53.4,-0.5,1.0
192.3,59.3,22.0,52.41,0.08,8.82
192.48,51.6,8.96,76.4,8.4,9.6
192.52,78.5,24.06,48.8,-1.1,2.2
192.65,58.8,20.871,51.3,1.1,6.9
192.79,39.5,63.879,48.4,-0.6,-0.4
192.98,66.2,35.1,41.8,0.3,0.5
193.04,55.7,20.88,60.2,-0.9,1.4
193.34,47.0,49.856,46.0,0.4,-1.7
193.42,56.4,23.01,52.5,-1.7,0.9
193.42,56.4,23.01,52.5,-1.7,0.9
193.61,52.1,21.681,54.0,2.6,7.1
193.61,52.1,21.681,54.0,2.6,7.1
193.7,43.5,74.135,40.7,0.0,-1.6
193.72,79.1,22.15,42.8,-0.2,0.9
193.74,53.7,28.47,55.6,0.5,-1.2
193.74,53.7,28.47,55.6,0.5,-1.2
193.8,59.0,33.0,51.2,0.24,9.2
193.8,59.0,33.0,51.2,0.24,9.2
193.82,55.3,6.06,65.0,8.3,3.8
193.93,64.1,37.83,51.8,-0.9,-1.1
194.01,52.1,9.61,80.8,6.0,3.5
194.2,58.2,23.8,58.35,-0.44,11.68
194.2,54.9,19.946,48.8,1.2,9.8
194.4,59.2,31.0,51.26,0.2,9.76
194.54,54.9,20.13,66.6,0.2,-2.1
194.64,47.1,14.478,51.6,2.2,8.7
194.76,40.8,68.908,46.7,-0.3,-1.1
194.78,56.5,22.02,55.1,-1.0,0.5
194.78,56.5,22.02,55.1,-1.0,0.5
195.09,53.4,17.548,54.0,2.8,11.0
195.16,55.5,26.17,54.0,-0.3,-0.1
195.27,51.9,7.73,57.4,7.8,0.6
195.28,62.9,37.77,40.2,-3.1,4.0
195.42,48.6,8.53,76.9,8.5,4.6
195.64,57.0,19.194,45.1,1.3,9.0
195.7,50.1,20.0,56.11,-1.11,8.89
195.8,56.9,26.4,47.87,0.06,8.1
196.04,54.3,19.12,66.6,0.9,-1.7
196.09,70.8,25.44,50.2,9.7,24.1
196.32,54.7,22.27,59.3,-1.6,0.3
196.34,47.7,47.67,50.2,-0.2,-0.8
196.34,47.7,47.67,50.2,-0.2,-0.8
196.44,54.8,16.936,55.3,2.6,12.2
196.47,59.2,27.6,41.94,0.28,4.86
196.58,78.5,16.31,43.2,-0.8,0.2
196.67,54.9,22.39,56.3,-0.2,-0.8
196.73,69.8,26.62,45.9,10.0,23.6
196.76,48.7,13.154,38.0,1.8,2.3
196.78,60.9,41.65,45.6,-2.0,0.2
196.92,50.5,8.56,60.4,7.0,7.9
196.98,56.4,34.18,55.2,0.9,-2.7
197.1,43.3,69.312,38.3,-0.4,-1.1
197.14,47.0,17.6,48.36,-0.08,9.29
197.3,58.7,29.4,46.97,0.35,8.16
197.54,55.4,30.96,71.7,0.4,-1.6
197.6,58.2,24.6,61.62,-0.3,10.43
197.64,56.6,21.978,51.5,1.6,2.1
197.78,55.1,27.17,55.5,-0.4,-1.4
197.84,50.0,15.004,51.9,2.0,10.4
197.89,56.8,29.8,50.75,0.23,8.24
197.99,55.3,26.91,51.6,0.1,-0.4
198.08,77.7,19.24,45.6,0.5,0.5
198.08,77.7,19.24,45.6,0.5,0.5
198.27,47.5,13.21,52.2,5.7,11.5
198.28,59.7,42.29,51.8,-1.4,-0.6
198.35,51.2,21.941,56.5,2.2,12.0
198.44,53.7,25.504,49.4,1.5,7.5
198.48,50.1,36.81,45.4,-1.5,2.9
198.55,66.9,28.55,21.2,7.7,26.4
198.61,54.5,23.45,70.0,1.0,-1.4
198.64,61.6,25.4,49.03,0.28,9.0
198.69,49.7,35.497,41.6,0.2,0.4
198.69,49.7,35.497,41.6,0.2,0.4
198.8,57.0,34.6,52.78,0.22,6.01
198.91,42.0,67.921,40.8,-1.3,0.8
198.91,42.0,67.921,40.8,-1.3,0.8
199.01,54.5,25.34,57.2,0.4,-1.6
199.04,8.8,15.6,61.97,3.04,13.26
199.14,54.6,17.2,55.43,-0.92,10.03
199.15,49.7,41.847,48.7,0.1,0.1
199.35,55.1,24.26,56.9,-1.0,0.4
199.45,67.1,26.82,47.6,12.0,23.5
199.5,49.0,11.97,68.5,1.6,3.9
199.58,77.5,19.05,39.7,0.6,2.0
199.68,54.9,19.82,66.1,0.5,-0.8
199.78,59.0,40.73,49.5,-0.9,4.5
199.78,49.1,28.997,53.8,4.1,6.3
199.8,44.0,57.993,38.9,-0.9,-2.5
199.81,53.3,21.514,59.6,2.3,14.1
199.84,48.0,33.32,43.0,0.4,-0.2
199.98,52.1,37.59,38.0,0.2,1.3
200.3,58.4,37.0,53.14,0.22,9.78
200.41,54.4,24.07,52.5,0.3,-0.8
200.66,56.0,19.931,49.1,1.1,8.4
200.7,55.8,20.8,55.58,-0.33,7.95
200.7,55.8,20.8,55.58,-0.33,7.95
200.72,63.6,23.67,49.3,8.2,18.6
200.8,49.8,16.158,43.8,2.0,5.1
200.88,54.6,23.85,64.2,-0.7,-1.4
201.08,77.9,18.88,42.0,-0.4,2.6
201.18,54.5,18.64,65.4,0.0,2.1
201.25,54.8,16.991,38.5,1.4,2.3
201.25,53.1,20.934,57.9,1.8,12.6
201.25,54.8,16.991,38.5,1.4,2.3
201.28,59.8,27.92,60.2,1.9,3.5
201.48,53.9,34.14,46.0,-0.7,0.5
202.2,54.5,19.4,61.87,-0.82,11.19
202.25,37.5,29.114,33.6,0.4,-0.6
202.32,58.4,21.47,53.7,1.1,-1.2
202.38,55.8,24.83,54.2,-0.7,-1.6
202.53,57.9,21.62,52.5,4.8,11.6
202.54,49.5,14.818,55.0,2.2,10.3
202.58,79.3,18.01,48.3,1.0,-0.5
202.6,59.3,27.94,68.1,1.6,4.9
202.68,52.2,20.11,66.1,0.8,0.3
202.84,48.9,51.936,48.7,0.1,-1.3
202.98,52.8,37.25,36.2,-0.3,2.4
203.03,52.0,25.071,50.5,2.1,8.6
203.2,29.8,35.8,28.67,0.2,0.6
203.37,54.1,21.26,57.5,0.1,-0.7
203.55,58.7,21.27,65.4,1.0,4.1
203.7,49.3,4.77,60.3,5.9,7.6
203.7,53.1,25.6,58.04,-0.675,13.025
203.78,41.1,58.678,46.6,-1.8,0.6
203.85,52.9,32.72,57.6,-1.2,0.3
203.91,54.4,19.851,51.7,1.2,9.4
203.91,58.1,16.38,54.4,9.5,17.0
204.08,78.3,18.29,45.4,-0.2,-0.9
204.18,51.5,21.64,56.8,-0.1,3.3
204.34,44.6,50.68,40.2,0.3,-1.6
204.35,50.1,32.37,42.2,0.4,2.6
204.35,50.1,32.37,42.2,0.4,2.6
204.51,50.6,28.284,57.7,2.3,13.2
204.68,55.9,36.53,50.8,2.0,7.8
204.69,55.8,22.82,57.3,-0.4,-0.1
204.84,54.3,17.044,49.6,1.5,10.7
205.02,55.9,3.09,63.3,5.4,6.5
205.05,51.7,7.425,36.0,0.8,1.7
205.2,63.3,21.0,57.78,-0.72,13.88
205.2,47.4,15.336,53.5,2.2,9.2
205.23,44.7,12.0,53.64,-0.96,5.22
205.3,80.2,16.94,41.5,0.2,0.5
205.37,54.4,23.15,61.8,-0.9,-1.2
205.65,49.7,24.46,63.2,1.7,1.7
206.01,56.2,26.571,53.2,2.5,6.3
206.08,78.9,17.55,45.6,-0.2,-0.6
206.18,56.3,41.99,47.0,3.1,10.4
206.34,54.8,4.19,66.0,5.3,11.8
206.52,46.8,26.2,51.59,-1.74,10.23
206.52,46.8,26.2,51.59,-1.74,10.23
206.58,57.4,34.28,38.2,-0.6,4.0
206.62,54.9,25.34,59.1,-0.4,-0.9
206.65,68.1,27.8,57.11,-1.16,12.68
206.69,47.8,34.12,37.0,0.9,-0.3
206.88,53.5,28.52,51.8,-0.9,1.2
206.88,53.5,28.52,51.8,-0.9,1.2
207.03,51.5,13.806,54.5,2.0,11.6
207.03,51.5,13.806,54.5,2.0,11.6
207.15,50.1,27.52,62.1,1.8,3.4
207.28,47.4,56.9,41.7,0.1,-1.8
207.44,56.6,22.62,50.7,0.7,8.4
207.58,77.6,19.79,40.6,0.0,-1.1
207.68,57.8,42.55,48.9,3.4,13.7
207.75,46.4,22.604,55.7,2.4,8.5
207.75,46.4,22.604,55.7,2.4,8.5
207.85,52.6,18.381,42.9,1.2,3.9
208.08,53.9,35.53,47.8,0.3,-0.6
208.11,50.7,24.12,60.9,-0.4,-1.7
208.41,58.5,25.92,52.7,-1.1,0.8
208.51,32.0,29.661,53.1,5.5,7.5
208.7,67.4,23.6,55.18,-0.66,11.78
209.08,79.6,17.27,47.4,-0.3,-1.0
209.18,53.8,33.99,66.3,1.5,1.5
209.24,49.9,23.701,,2.4,10.9
209.33,51.1,32.16,66.3,-0.5,-2.6
209.33,51.1,32.16,66.3,-0.5,-2.6
209.34,43.5,50.366,50.0,-0.1,-0.7
209.39,54.0,16.721,51.7,1.7,11.7
209.58,53.4,36.49,42.5,1.1,-1.3
209.7,54.9,22.49,56.2,-0.2,0.0
210.13,58.0,26.791,43.7,0.8,8.1
210.2,64.7,21.0,42.15,-0.04,6.44
210.47,49.2,14.85,80.2,0.1,-3.3
210.58,78.7,17.78,44.9,0.3,0.6
210.58,78.7,17.78,44.9,0.3,0.6
210.62,49.3,23.408,56.7,2.5,9.8
210.62,56.9,34.33,56.8,1.7,7.2
210.63,60.2,15.34,50.3,0.9,5.8
210.68,51.7,18.2,62.79,0.36,10.99
210.84,54.2,35.274,50.9,1.3,10.0
211.08,54.4,37.4,39.1,0.4,1.9
211.51,55.8,23.68,47.2,-0.4,-0.2
211.82,56.3,15.65,47.9,2.7,17.7
211.85,54.5,10.28,83.9,0.9,-5.0
211.93,51.3,21.918,46.7,1.6,9.1
212.02,56.2,43.84,56.0,0.2,5.5
212.08,78.3,18.35,48.9,1.1,-0.6
212.34,49.3,50.663,39.8,0.8,-3.0
212.44,48.6,24.694,56.4,2.8,9.8
212.62,58.8,21.851,47.6,1.2,8.0
212.62,58.8,21.851,47.6,1.2,8.0
212.8,58.2,22.0,55.44,-0.41,11.74
212.8,58.2,22.0,55.44,-0.41,11.74
213.04,54.3,22.73,60.5,-0.1,-1.8
213.04,54.3,22.73,60.5,-0.1,-1.8
213.18,54.1,42.91,49.0,3.4,10.9
213.18,54.1,42.91,49.0,3.4,10.9
213.28,42.7,59.858,49.6,-1.3,1.0
213.41,55.2,23.654,49.8,1.6,9.8
213.43,50.3,17.29,66.4,-0.2,-2.5
213.57,14.2,15.6,61.97,3.04,13.26
213.58,79.5,18.36,35.8,-0.4,1.4
213.7,53.0,28.6,56.59,-0.8,10.18
213.86,63.3,28.06,45.2,10.1,10.9
213.89,47.6,20.098,56.5,2.7,11.9
214.0,49.5,22.093,52.2,2.4,10.5
214.35,52.5,25.248,53.4,1.6,9.1
214.35,52.5,25.248,53.4,1.6,9.1
214.45,55.4,27.14,50.8,-1.1,1.5
214.68,57.0,41.53,52.5,1.3,7.6
214.88,53.1,6.93,71.4,1.3,2.1
214.92,59.3,23.91,50.2,8.2,18.1
215.31,58.2,19.218,58.1,2.8,12.4
215.31,58.2,19.218,58.1,2.8,12.4
215.34,48.2,49.666,42.2,0.4,-2.6
215.56,62.3,32.11,40.4,14.0,30.5
215.58,77.8,16.92,41.1,-0.6,0.5
216.18,57.3,46.68,47.5,1.4,10.5
216.2,59.0,22.8,56.38,-0.22,11.16
216.23,54.3,32.39,32.3,1.7,2.0
216.38,60.8,27.03,52.4,10.1,11.2
216.41,57.2,6.73,77.2,0.2,-3.5
216.64,56.9,16.494,48.9,1.2,6.7
216.83,56.9,22.61,58.0,11.4,17.4
216.99,51.4,26.224,41.5,2.1,2.1
217.01,40.7,64.687,44.0,-0.9,0.9
217.08,77.1,18.79,40.2,-0.1,0.9
217.15,56.1,20.394,52.1,2.5,10.0
217.3,56.3,29.07,59.9,0.6,7.6
217.4,56.0,41.424,51.0,1.8,9.3
217.56,15.9,18.999,50.6,5.2,5.0
217.59,57.1,42.48,52.6,0.4,5.2
217.68,53.0,34.63,41.1,0.1,1.0
217.7,40.6,62.409,44.0,-0.8,1.1
217.79,53.5,8.0,76.7,0.4,0.3
217.89,47.5,35.978,36.3,1.3,-1.7
218.0,67.6,19.4,43.94,-0.29,8.24
218.0,67.6,19.4,43.94,-0.29,8.24
218.06,56.6,26.23,54.8,-0.6,0.1
218.08,50.3,18.11,63.6,2.1,6.0
218.08,50.3,18.11,63.6,2.1,6.0
218.3,59.3,13.76,71.6,0.1,4.0
218.3,59.3,13.76,71.6,0.1,4.0
218.42,55.9,4.79,83.7,1.1,-1.6
218.58,78.8,18.66,46.0,-0.1,-0.6
218.64,46.1,21.081,52.4,3.0,12.6
218.8,60.6,24.6,55.77,-0.42,9.93
218.89,58.2,41.09,51.6,2.2,9.9
219.14,43.0,62.038,47.3,-0.9,-0.8
219.18,55.5,31.78,50.9,0.0,2.5
219.22,45.7,27.326,49.2,2.0,12.1
219.4,61.3,15.05,60.2,10.5,20.2
219.58,48.6,17.81,63.1,0.9,4.2
219.68,58.0,14.738,46.5,1.0,7.0
219.68,58.0,14.738,46.5,1.0,7.0
219.71,54.3,28.18,55.0,-0.5,-1.0
219.8,61.6,18.2,49.97,-0.36,7.37
219.9,39.3,46.058,42.6,0.4,-2.2
219.93,57.4,4.83,83.7,0.4,-3.0
220.01,57.5,20.671,50.9,3.1,6.2
220.01,57.5,20.671,50.9,3.1,6.2
220.08,78.7,19.26,38.0,-0.6,2.8
220.12,42.2,49.075,46.6,-0.2,-1.8
220.3,58.1,20.0,45.35,-0.2,8.48
220.4,42.2,28.8,44.38,-1.36,5.36
220.59,51.8,26.767,48.0,1.6,9.7
220.64,43.8,61.998,46.9,-1.4,0.1
220.68,54.8,33.76,44.4,-0.5,1.7
220.68,54.8,33.76,44.4,-0.5,1.7
220.82,48.3,17.04,70.6,1.1,2.3
220.88,58.9,46.89,50.2,1.4,7.3
221.2,58.0,23.4,59.44,-0.3,10.42
221.22,54.6,18.42,65.1,8.7,21.2
221.28,42.7,52.766,41.2,-1.0,1.9
221.37,74.7,21.45,38.2,-1.4,4.0
221.43,55.5,5.18,84.4,0.8,-2.2
221.44,62.8,19.6,49.2,-0.44,7.21
221.5,44.2,31.6,45.69,-0.87,6.74
221.51,52.2,23.71,57.7,-1.6,-0.3
221.84,49.2,21.828,48.5,3.3,12.0
221.91,51.0,34.22,43.7,0.7,1.7
222.09,54.9,22.33,60.4,6.7,18.7
222.29,76.2,22.01,47.6,0.3,-0.4
222.3,58.9,22.4,57.49,-0.42,11.085
222.36,57.9,17.015,48.2,1.4,5.1
222.38,57.4,46.85,53.1,0.4,3.3
222.39,50.7,26.89,60.0,-0.6,-1.5
222.78,42.3,57.826,34.9,-0.4,1.1
222.79,56.3,4.92,79.3,,-2.8
222.8,64.4,18.2,54.96,-0.53,10.61
222.9,47.2,51.525,44.5,-0.4,-1.7
222.9,47.2,51.525,44.5,-0.4,-1.7
222.92,50.5,24.106,52.1,2.4,13.1
222.98,58.6,21.424,48.7,1.4,10.4
223.07,59.2,3.56,58.9,5.4,8.2
223.18,50.5,21.21,63.2,0.9,0.1
223.33,51.7,20.491,52.9,2.7,11.0
223.44,41.8,58.993,43.0,-1.3,0.3
223.51,54.1,10.27,59.9,9.0,23.7
223.62,75.9,19.54,40.2,-0.8,2.3
223.74,33.0,15.6,61.97,3.04,13.26
223.74,33.0,15.6,61.97,3.04,13.26
223.8,55.6,19.934,48.6,1.6,11.3
223.86,61.4,22.8,61.09,-0.75,9.88
223.88,51.1,40.45,55.6,1.0,3.4
223.9,55.1,23.0,28.95,0.14,6.51
223.93,50.4,19.87,61.5,-0.2,-1.8
224.14,49.0,20.874,54.6,2.8,10.4
224.14,49.0,20.874,54.6,2.8,10.4
224.37,52.3,5.36,82.4,2.3,-1.0
224.41,56.0,11.4,62.1,9.0,20.2
224.68,47.8,16.36,66.1,0.5,1.0
224.73,66.3,3.85,64.5,5.5,6.4
225.08,75.2,19.07,38.2,-0.6,4.0
225.1,39.5,57.165,38.6,-1.0,0.6
225.3,52.7,25.6,33.35,0.09,5.23
225.3,52.7,25.6,33.35,0.09,5.23
225.38,58.2,43.32,48.5,1.1,8.6
225.44,51.1,24.05,84.3,0.8,-4.9
225.78,51.4,34.64,42.3,-0.3,-1.1
225.9,49.8,47.618,44.0,0.6,-1.1
225.94,42.3,66.504,45.8,-2.1,1.2
225.94,43.5,4.88,71.4,1.0,-1.5
225.94,42.3,66.504,45.8,-2.1,1.2
226.01,34.0,9.058,29.6,1.2,-2.2
226.03,53.3,5.49,62.9,6.1,8.5
226.07,60.2,26.428,47.2,1.4,6.1
226.18,48.7,19.86,64.7,0.9,0.8
226.41,49.8,19.498,42.2,2.4,7.3
226.44,49.1,13.96,69.5,-0.1,-3.1
226.45,49.0,23.207,40.8,1.9,4.8
226.58,75.2,22.23,37.5,-1.6,2.5
226.75,59.5,43.13,44.9,-1.0,5.9
226.79,54.6,19.411,45.6,1.8,7.9
226.8,51.4,20.4,28.17,0.08,4.28
226.98,56.7,14.1,59.4,8.2,22.3
226.98,56.7,14.1,59.4,8.2,22.3
227.28,51.8,33.81,44.8,-0.4,-0.3
227.32,51.4,7.32,65.3,-1.5,-1.0
227.41,50.0,17.836,42.7,2.5,5.8
227.51,52.6,3.9,79.3,8.1,7.3
227.63,56.3,20.2,56.4,-1.08,9.0
227.68,49.7,22.57,65.3,0.6,0.9
227.78,55.5,4.04,82.3,4.5,1.1
227.85,58.7,40.27,45.5,-0.8,4.6
227.9,44.9,53.312,46.7,-0.3,-1.3
227.93,57.2,12.96,46.8,7.7,24.2
228.08,77.2,22.47,45.1,1.6,-0.9
228.48,47.2,8.71,68.8,-0.3,1.0
228.5,47.6,54.827,46.8,-1.5,0.4
228.78,50.4,32.49,52.6,0.9,-3.2
228.82,50.9,19.779,51.1,2.4,11.1
228.82,50.9,19.779,51.1,2.4,11.1
228.98,59.8,39.62,49.9,-1.4,0.5
229.14,43.9,5.792,33.2,0.2,-0.6
229.18,50.5,20.87,59.2,-0.4,3.2
229.2,57.6,13.784,51.4,1.0,7.6
229.2,57.6,13.784,51.4,1.0,7.6
229.3,54.4,4.78,78.5,5.2,5.7
229.4,66.3,16.6,60.14,-0.54,11.38
229.58,74.9,23.01,45.5,-0.2,0.0
229.63,54.9,12.97,57.1,7.7,19.1
229.78,54.7,23.138,37.9,1.4,5.1
229.94,53.5,16.05,60.6,-1.3,6.3
229.98,51.5,8.98,80.1,0.6,-0.9
230.0,39.5,31.6,48.51,-1.3,4.51
230.0,45.1,56.927,45.2,-1.3,0.5
