Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
7.3,58.7,44.4,55.0,-0.42,7.32
7.3,59.3,25.4,53.21,-1.78,9.44
7.42,75.8,20.64,51.5,5.7,15.0
7.48,70.2,26.13,52.3,0.8,-0.7
7.56,68.4,29.45,38.6,7.2,26.2
7.68,70.2,21.3,46.6,6.0,10.8
7.7,68.0,12.24,52.2,0.8,1.8
7.7,64.3,31.8,60.27,-0.18,9.42
7.81,48.0,54.075,45.3,-0.6,-2.1
7.84,59.5,10.467,51.8,4.9,7.6
8.05,70.0,80.548,48.1,3.1,5.0
8.08,82.5,10.58,71.8,3.5,11.7
8.08,82.5,10.58,71.8,3.5,11.7
8.08,70.5,23.85,53.5,5.3,15.4
8.12,51.2,52.276,45.6,-0.4,-0.1
8.16,53.7,36.655,44.9,-2.2,5.6
8.18,51.9,36.655,44.9,-2.2,5.6
8.3,65.6,25.2,52.07,0.2,10.2
8.3,65.6,25.2,52.07,0.2,10.2
8.37,70.6,21.718,43.4,1.0,9.4
8.4,60.8,19.6,63.55,1.78,11.46
8.5,61.5,27.2,53.48,-0.81,10.03
8.5,65.2,27.2,63.73,0.32,9.87
8.55,45.9,42.661,38.68,1.1,-0.1
8.71,68.8,19.51,50.3,5.1,3.7
8.72,73.4,46.58,39.4,4.3,11.4
8.72,73.4,46.58,39.4,4.3,11.4
8.78,74.4,4.854,50.1,3.3,8.4
8.8,62.3,25.6,65.26,-0.81,9.86
8.83,39.2,42.911,41.1,-0.5,-0.1
8.89,45.9,23.91,50.1,1.4,-0.3
8.9,64.6,26.6,53.1,-0.76,10.0
8.98,70.9,17.94,49.1,3.9,3.7
8.99,52.4,51.412,44.3,0.5,-3.5
8.99,52.4,51.412,44.3,0.5,-3.5
9.01,42.9,38.888,40.3,-1.8,3.6
9.03,73.2,22.79,53.6,5.4,14.6
9.12,60.6,52.47,22.3,-0.2,6.0
9.18,71.6,27.8,38.4,7.2,25.9
9.18,60.8,19.72,52.9,5.3,5.4
9.2,76.5,24.0,62.25,0.63,13.27
9.2,65.1,22.0,61.9,0.08,10.24
9.2,76.5,24.0,62.25,0.63,13.27
9.2,65.1,22.0,61.9,0.08,10.24
9.34,68.2,8.641,55.1,4.2,7.9
9.58,68.0,27.12,52.7,4.8,12.7
9.58,79.8,10.48,66.7,4.0,14.3
9.64,62.7,50.26,32.5,-0.2,2.3
9.87,43.9,36.169,45.0,-1.3,3.0
9.9,43.1,30.631,45.0,-1.3,3.0
9.9,52.3,18.2,63.47,0.8,13.37
10.0,62.2,24.4,50.32,-0.54,11.84
10.0,45.7,42.614,40.06,1.08,-1.93
10.0,45.7,42.614,40.06,1.08,-1.93
10.0,72.1,32.8,61.57,0.63,13.03
10.0,72.1,32.8,61.57,0.63,13.03
10.03,68.3,26.81,53.6,5.8,14.6
10.07,51.3,57.485,48.0,-0.8,0.8
10.1,57.3,30.63,45.6,4.7,7.6
10.13,79.4,21.57,50.7,-0.1,-0.6
10.2,70.5,26.4,64.28,0.37,12.51
10.25,67.7,20.534,42.9,1.1,9.7
10.25,78.4,5.108,43.5,3.2,6.6
10.3,57.8,31.8,61.98,0.3,9.72
10.38,66.5,17.84,49.3,0.7,0.6
10.4,57.4,28.8,46.12,-0.82,10.06
10.49,48.1,56.212,49.3,-0.3,-2.4
10.53,74.6,25.12,56.1,5.1,9.5
10.56,60.5,53.01,24.6,-1.1,3.3
10.58,63.5,39.89,48.9,4.4,8.3
10.68,69.8,28.35,43.5,7.1,26.1
10.68,69.8,28.35,43.5,7.1,26.1
10.7,66.7,30.2,56.42,0.6,13.62
10.78,52.6,26.0,52.2,3.3,3.1
10.78,52.6,26.0,52.2,3.3,3.1
10.84,67.7,6.944,49.5,3.5,3.9
10.94,48.9,40.395,,-0.9,2.3
10.98,47.1,40.395,39.4,-1.2,3.5
10.98,58.0,30.34,43.5,0.0,1.2
11.05,40.1,26.776,42.7,-0.3,0.2
11.08,79.7,9.98,72.8,4.2,11.6
11.08,70.9,25.88,50.6,4.1,10.8
11.08,79.7,9.98,72.8,4.2,11.6
11.26,68.6,27.86,59.5,5.4,13.0
11.31,61.8,53.2,26.2,0.6,7.6
11.39,71.2,19.581,44.4,1.2,10.4
11.4,65.1,19.4,67.73,0.92,12.27
11.5,60.4,21.6,50.86,-0.94,10.27
11.5,64.5,37.8,52.78,1.01,11.86
11.51,68.9,16.119,42.4,1.1,6.3
11.51,49.2,43.555,36.5,-0.9,2.7
11.52,44.7,45.125,39.47,1.21,-0.59
11.76,73.1,10.778,45.7,3.3,5.0
11.8,61.1,24.6,64.79,-0.45,10.98
11.8,66.4,27.4,55.83,0.65,12.65
11.85,70.7,26.53,63.3,5.7,15.4
11.88,65.6,20.58,52.05,1.25,-0.35
11.9,64.5,31.6,53.44,-0.92,11.76
11.9,64.5,31.6,53.44,-0.92,11.76
11.92,78.4,20.56,52.3,4.8,17.1
11.95,58.2,45.12,21.6,-0.4,15.6
11.95,58.2,45.12,21.6,-0.4,15.6
11.95,65.0,27.83,57.1,4.8,10.3
11.99,39.1,60.418,48.6,-0.2,-3.2
12.18,69.1,29.51,55.2,5.9,16.9
12.2,68.0,34.2,59.32,0.17,12.41
12.2,46.3,47.262,44.9,-1.1,2.3
12.28,51.4,28.75,45.8,2.3,4.6
12.29,68.0,29.384,34.9,1.3,6.7
12.33,48.4,44.12,40.7,-1.1,2.4
12.34,72.7,9.934,49.3,3.2,4.5
12.48,66.0,25.52,53.7,3.0,2.3
12.58,71.5,27.71,47.2,5.4,17.2
12.58,71.5,27.71,47.2,5.4,17.2
12.58,79.1,10.94,71.4,4.0,11.8
12.7,57.3,58.68,21.9,-2.0,9.9
12.9,51.6,18.0,64.7,1.24,15.29
12.99,80.4,20.46,58.5,1.6,11.5
13.0,61.5,25.8,51.56,-0.91,11.71
13.0,69.1,29.0,58.76,0.42,11.85
13.01,76.5,26.73,43.8,2.7,12.1
13.06,44.3,48.247,39.61,1.17,-3.21
13.07,78.3,15.986,48.2,3.3,7.3
13.14,44.5,55.72,46.2,-0.2,-3.6
13.3,47.9,52.685,40.1,-0.6,2.3
13.3,61.9,24.8,64.44,-0.55,10.74
13.3,60.9,23.0,56.41,0.05,11.42
13.3,61.9,24.8,64.44,-0.55,10.74
13.38,67.4,19.77,43.2,-0.1,0.9
13.38,67.4,19.77,43.2,-0.1,0.9
13.4,53.6,26.8,52.4,-0.44,9.69
13.4,68.0,25.56,60.35,4.9,11.7
13.54,57.9,24.621,51.6,2.0,8.3
13.55,46.2,62.61,46.9,-0.8,1.5
13.58,45.3,62.61,49.7,-1.4,2.5
13.68,71.6,29.7,42.6,7.1,27.7
13.7,69.5,21.8,61.06,0.4,12.74
13.73,75.1,21.544,39.5,1.3,8.8
13.74,68.8,18.791,43.2,0.8,9.7
13.78,55.6,32.0,52.0,1.7,0.0
13.84,67.3,19.704,49.0,4.1,6.3
13.87,41.3,55.9,45.8,0.7,-3.1
13.9,53.0,25.2,60.65,0.43,10.77
13.9,63.1,23.6,53.61,-0.78,12.48
13.97,69.8,26.2,53.7,3.9,9.5
13.98,63.7,23.31,53.5,2.0,2.3
13.98,44.3,31.959,36.6,0.4,-1.3
14.08,80.0,9.64,68.7,4.3,14.0
14.1,67.2,30.0,55.82,0.14,11.73
14.18,79.3,19.33,53.4,4.4,22.0
14.2,66.6,23.4,68.81,-0.5,9.92
14.27,39.2,52.168,53.3,-0.3,-2.4
14.36,44.0,46.651,38.88,1.14,-0.99
14.4,65.4,21.8,62.15,0.99,10.91
14.4,65.4,21.8,62.15,0.99,10.91
14.44,47.2,84.946,41.2,-0.8,2.3
14.8,46.0,40.238,43.7,-0.9,2.2
14.8,46.0,40.238,43.7,-0.9,2.2
14.84,71.7,24.188,44.0,1.4,7.4
14.88,74.5,25.67,49.4,1.2,1.0
14.9,53.2,35.8,51.8,-0.85,9.26
14.92,69.2,25.12,60.3,6.3,19.9
14.95,71.1,26.11,39.1,4.2,29.9
15.0,63.8,32.0,59.08,0.32,11.69
15.0,63.9,25.8,50.84,-1.48,8.9
15.04,71.2,13.073,45.0,3.4,4.2
15.05,43.2,45.938,44.53,1.75,-2.25
15.06,72.6,69.954,45.5,1.8,4.0
15.06,82.6,22.95,44.2,-1.8,2.4
15.06,49.4,28.561,33.6,-0.9,1.4
15.08,47.9,28.561,33.6,-0.9,1.4
15.2,72.1,33.0,61.79,0.8,13.57
15.26,68.9,33.501,49.5,3.4,9.1
15.26,63.6,19.0,61.67,1.43,12.38
15.28,75.5,22.23,50.1,-3.5,2.7
15.3,63.7,29.4,51.09,0.1,9.7
15.31,56.8,32.2,49.87,-0.93,9.11
15.38,79.6,10.17,64.8,3.8,14.5
15.38,75.5,21.18,51.8,4.2,15.8
15.48,58.1,31.07,47.6,2.6,5.9
15.68,77.6,22.44,53.1,5.3,11.9
15.68,54.7,23.27,58.1,1.9,11.0
15.68,77.6,22.44,53.1,5.3,11.9
15.94,37.0,24.975,47.5,-1.5,1.7
16.08,86.2,13.26,48.6,3.3,16.2
16.08,76.2,10.66,65.6,3.5,11.8
16.08,81.2,31.83,38.9,-2.8,5.2
16.08,76.2,10.66,65.6,3.5,11.8
16.3,46.8,52.708,39.2,-0.6,-0.8
16.31,47.1,67.306,47.6,-0.5,1.2
16.35,80.0,18.191,42.8,1.7,7.5
16.38,73.2,20.82,48.0,0.4,3.7
16.4,61.3,20.4,63.3,0.73,11.82
16.49,46.4,53.608,45.0,0.5,-3.5
16.5,70.4,28.6,51.58,0.55,10.83
16.5,64.4,22.2,54.77,-1.1,13.13
16.53,44.4,45.361,38.07,0.76,-0.44
16.6,69.8,40.018,46.2,2.7,7.9
16.7,70.1,25.6,63.56,0.87,11.51
16.73,70.6,21.824,37.8,1.3,5.8
16.73,70.6,21.824,37.8,1.3,5.8
16.74,69.7,24.548,39.3,0.9,9.7
16.78,49.9,51.495,53.6,0.5,-2.6
16.78,70.9,29.45,45.8,-1.4,3.4
16.8,61.8,27.6,59.16,,8.97
16.82,68.2,20.16,66.7,6.4,17.6
16.9,67.6,37.6,48.69,-0.28,6.48
16.98,65.5,31.56,51.4,2.1,0.3
17.18,73.6,22.29,61.9,2.2,4.3
17.18,73.9,43.14,49.0,3.9,10.4
17.25,46.0,32.982,34.8,-0.9,1.1
17.31,55.1,13.724,54.7,4.5,7.8
17.44,40.6,67.155,39.4,-0.1,-0.8
17.46,79.4,15.07,59.9,-1.0,1.9
17.46,79.4,15.07,59.9,-1.0,1.9
17.58,77.1,27.86,48.3,0.5,-0.5
17.59,84.5,17.12,47.2,-3.4,2.1
17.68,68.4,16.01,54.2,0.7,0.4
17.7,41.1,53.29,36.7,-0.6,0.0
17.73,46.7,59.098,44.4,-1.2,1.7
17.81,74.7,31.934,41.5,1.6,5.5
17.89,71.3,29.178,41.0,1.4,6.2
17.9,65.1,21.4,63.98,1.24,12.71
18.0,65.3,27.0,52.52,-0.96,9.52
18.0,68.7,27.0,61.96,1.07,10.81
18.02,45.5,45.759,38.41,0.85,-0.29
18.18,71.9,18.03,70.7,7.0,17.2
18.2,64.7,28.561,56.6,2.5,10.7
18.2,64.7,28.561,56.6,2.5,10.7
18.28,74.3,35.82,22.7,-1.7,24.6
18.3,57.3,24.6,68.35,-0.37,10.81
18.3,73.3,26.12,56.1,4.2,10.6
18.38,71.6,14.38,46.7,0.7,-0.1
18.38,71.6,14.38,46.7,0.7,-0.1
18.4,35.2,9.015,29.1,1.6,-3.5
18.4,62.2,42.0,52.2,-0.54,10.89
18.68,72.4,23.62,49.6,4.0,16.3
18.68,75.8,24.02,57.7,1.8,4.9
18.7,69.0,18.6,54.27,2.16,13.06
18.7,69.0,18.6,54.27,2.16,13.06
18.76,46.6,55.887,48.1,-0.3,2.6
18.79,66.7,11.394,55.1,4.1,8.3
18.96,79.8,15.35,59.5,-2.8,0.5
19.08,74.5,25.32,48.3,-0.1,0.3
19.12,48.5,48.214,46.0,0.1,-3.2
19.13,84.4,19.59,48.5,-1.8,0.1
19.16,44.4,50.979,46.0,-1.7,3.3
19.18,43.8,50.979,46.0,-1.7,3.3
19.18,43.8,50.979,46.0,-1.7,3.3
19.2,42.4,63.133,48.6,-0.7,-0.1
19.22,66.1,14.371,47.8,1.7,8.9
19.27,43.3,45.455,38.71,1.11,-1.25
19.27,43.3,45.455,38.71,1.11,-1.25
19.4,58.8,18.8,65.88,0.0,9.92
19.5,70.5,20.8,59.32,1.41,11.14
19.5,70.5,20.8,59.32,1.41,11.14
19.5,61.2,24.2,51.29,-1.14,12.04
19.56,75.8,32.42,53.1,0.4,-0.2
19.68,69.4,18.72,72.0,6.5,16.7
19.7,67.7,18.404,54.0,2.2,9.5
19.73,67.9,29.378,39.0,0.8,7.5
19.74,67.4,28.228,40.8,0.8,8.9
19.78,65.8,28.06,58.9,4.9,10.0
19.78,65.8,28.06,58.9,4.9,10.0
19.8,62.8,27.4,64.19,-0.8,11.17
19.8,73.5,30.0,58.75,1.26,12.76
19.88,65.3,22.21,48.6,1.1,-0.8
19.9,65.3,33.8,54.33,-0.74,10.33
19.97,51.5,53.423,47.2,-0.7,-0.6
