label,Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
317-U1353B-040H-1-0.7,197.1,43.3,69.312,38.3,-0.4,-1.1
194-1194B-011R-1-0.74,197.14,47.0,17.6,48.36,-0.08,9.29
194-1198A-022H-2-0.8,197.3,58.7,29.4,46.97,0.35,8.16
342-U1406A-022H-5-0.38,197.54,55.4,30.96,71.7,0.4,-1.6
194-1195B-021H-6-1.2,197.6,58.2,24.6,61.62,-0.3,10.43
359-U1467B-023H-2-0.74,197.64,56.6,21.978,51.5,1.6,2.1
342-U1410A-021X-7-0.41,197.78,55.1,27.17,55.5,-0.4,-1.4
359-U1468A-032F-1-0.74,197.84,50.0,15.004,51.9,2.0,10.4
194-1198B-001R-2-0.75,197.89,56.8,29.8,50.75,0.23,8.24
342-U1408A-022X-7-0.17,197.99,55.3,26.91,51.6,0.1,-0.4
342-U1405A-022H-2-0.38,198.08,77.7,19.24,45.6,0.5,0.5
342-U1405A-022H-2-0.38,198.08,77.7,19.24,45.6,0.5,0.5
342-U1407A-024X-4-0.27,198.27,47.5,13.21,52.2,5.7,11.5
342-U1404A-023H-3-0.38,198.28,59.7,42.29,51.8,-1.4,-0.6
359-U1466A-029F-1-0.75,198.35,51.2,21.941,56.5,2.2,12.0
359-U1471A-022H-3-0.84,198.44,53.7,25.504,49.4,1.5,7.5
342-U1411B-023X-2-0.38,198.48,50.1,36.81,45.4,-1.5,2.9
342-U1403A-023X-3-0.75,198.55,66.9,28.55,21.2,7.7,26.4
342-U1406A-022H-6-0.15,198.61,54.5,23.45,70.0,1.0,-1.4
194-1198B-001R-3-0.41,198.64,61.6,25.4,49.03,0.28,9.0
317-U1352B-022H-7-0.49,198.69,49.7,35.497,41.6,0.2,0.4
317-U1352B-022H-7-0.49,198.69,49.7,35.497,41.6,0.2,0.4
194-1198A-022H-3-0.8,198.8,57.0,34.6,52.78,0.22,6.01
317-U1353B-040H-2-0.98,198.91,42.0,67.921,40.8,-1.3,0.8
317-U1353B-040H-2-0.98,198.91,42.0,67.921,40.8,-1.3,0.8
342-U1408A-023X-1-0.51,199.01,54.5,25.34,57.2,0.4,-1.6
194-1196B-036Z-1-0.04,199.04,8.8,15.6,61.97,3.04,13.26
194-1195B-022H-1-0.74,199.14,54.6,17.2,55.43,-0.92,10.03
317-U1352B-023H-1-0.45,199.15,49.7,41.847,48.7,0.1,0.1
342-U1410A-022X-1-0.35,199.35,55.1,24.26,56.9,-1.0,0.4
342-U1403A-023X-4-0.25,199.45,67.1,26.82,47.6,12.0,23.5
342-U1409A-026X-1-0.2,199.5,49.0,11.97,68.5,1.6,3.9
342-U1405A-022H-3-0.38,199.58,77.5,19.05,39.7,0.6,2.0
342-U1406A-023H-1-0.38,199.68,54.9,19.82,66.1,0.5,-0.8
342-U1404A-023H-4-0.38,199.78,59.0,40.73,49.5,-0.9,4.5
359-U1470B-005R-2-0.3,199.78,49.1,28.997,53.8,4.1,6.3
317-U1351B-025X-1-0.595,199.8,44.0,57.993,38.9,-0.9,-2.5
359-U1466A-029F-2-0.71,199.81,53.3,21.514,59.6,2.3,14.1
317-U1352B-023H-1-1.14,199.84,48.0,33.32,43.0,0.4,-0.2
342-U1411B-023X-3-0.38,199.98,52.1,37.59,38.0,0.2,1.3
194-1198A-022H-4-0.8,200.3,58.4,37.0,53.14,0.22,9.78
342-U1408A-023X-2-0.41,200.41,54.4,24.07,52.5,0.3,-0.8
359-U1467B-023H-4-0.76,200.66,56.0,19.931,49.1,1.1,8.4
194-1195B-022H-2-0.8,200.7,55.8,20.8,55.58,-0.33,7.95
194-1195B-022H-2-0.8,200.7,55.8,20.8,55.58,-0.33,7.95
342-U1403A-023X-5-0.12,200.72,63.6,23.67,49.3,8.2,18.6
359-U1468A-032F-3-0.7,200.8,49.8,16.158,43.8,2.0,5.1
342-U1410A-022X-2-0.38,200.88,54.6,23.85,64.2,-0.7,-1.4
342-U1405A-022H-4-0.38,201.08,77.9,18.88,42.0,-0.4,2.6
342-U1406A-023H-2-0.38,201.18,54.5,18.64,65.4,0.0,2.1
359-U1471A-022H-5-0.65,201.25,54.8,16.991,38.5,1.4,2.3
359-U1466A-029F-3-0.65,201.25,53.1,20.934,57.9,1.8,12.6
359-U1471A-022H-5-0.65,201.25,54.8,16.991,38.5,1.4,2.3
342-U1404A-023H-5-0.38,201.28,59.8,27.92,60.2,1.9,3.5
342-U1411B-023X-4-0.38,201.48,53.9,34.14,46.0,-0.7,0.5
194-1195B-022H-3-0.8,202.2,54.5,19.4,61.87,-0.82,11.19
317-U1353B-041H-1-0.85,202.25,37.5,29.114,33.6,0.4,-0.6
342-U1408A-023X-3-0.82,202.32,58.4,21.47,53.7,1.1,-1.2
342-U1410A-022X-3-0.38,202.38,55.8,24.83,54.2,-0.7,-1.6
342-U1403A-023X-6-0.43,202.53,57.9,21.62,52.5,4.8,11.6
359-U1468A-033F-1-0.74,202.54,49.5,14.818,55.0,2.2,10.3
342-U1405A-022H-5-0.38,202.58,79.3,18.01,48.3,1.0,-0.5
342-U1404A-023H-6-0.2,202.6,59.3,27.94,68.1,1.6,4.9
342-U1406A-023H-3-0.38,202.68,52.2,20.11,66.1,0.8,0.3
317-U1352B-023H-3-1.14,202.84,48.9,51.936,48.7,0.1,-1.3
342-U1411B-023X-5-0.38,202.98,52.8,37.25,36.2,-0.3,2.4
359-U1466A-030F-1-0.73,203.03,52.0,25.071,50.5,2.1,8.6
194-1198A-023X-1-0.2,203.2,29.8,35.8,28.67,0.2,0.6
342-U1408A-023X-4-0.37,203.37,54.1,21.26,57.5,0.1,-0.7
342-U1404A-023H-7-0.15,203.55,58.7,21.27,65.4,1.0,4.1
342-U1407A-025X-1-0.6,203.7,49.3,4.77,60.3,5.9,7.6
194-1195B-022H-4-0.8,203.7,53.1,25.6,58.04,-0.675,13.024999999999999
317-U1354C-018X-1-1.48,203.78,41.1,58.678,46.6,-1.8,0.6
342-U1410A-022X-4-0.35,203.85,52.9,32.72,57.6,-1.2,0.3
359-U1471A-022H-7-0.31,203.91,54.4,19.851,51.7,1.2,9.4
342-U1403A-023X-7-0.41,203.91,58.1,16.38,54.4,9.5,17.0
342-U1405A-022H-6-0.38,204.08,78.3,18.29,45.4,-0.2,-0.9
342-U1406A-023H-4-0.38,204.18,51.5,21.64,56.8,-0.1,3.3
317-U1352B-023H-4-1.14,204.34,44.6,50.68,40.2,0.3,-1.6
342-U1411B-023X-6-0.25,204.35,50.1,32.37,42.2,0.4,2.6
342-U1411B-023X-6-0.25,204.35,50.1,32.37,42.2,0.4,2.6
359-U1466A-030F-2-0.71,204.51,50.6,28.284,57.7,2.3,13.2
342-U1404A-024H-1-0.38,204.68,55.9,36.53,50.8,2.0,7.8
342-U1408A-023X-5-0.19,204.69,55.8,22.82,57.3,-0.4,-0.1
359-U1471A-023H-1-0.74,204.84,54.3,17.044,49.6,1.5,10.7
342-U1407A-025X-2-0.67,205.02,55.9,3.09,63.3,5.4,6.5
317-U1353B-043H-1-0.05,205.05,51.7,7.425,36.0,0.8,1.7
194-1195B-022H-5-0.8,205.2,63.3,21.0,57.78,-0.72,13.88
359-U1468A-033F-3-0.4,205.2,47.4,15.336,53.5,2.2,9.2
194-1193A-038X-1-0.03,205.23,44.7,12.0,53.64,-0.96,5.22
342-U1405A-022H-7-0.18,205.3,80.2,16.94,41.5,0.2,0.5
342-U1410A-022X-5-0.37,205.37,54.4,23.15,61.8,-0.9,-1.2
342-U1406A-023H-5-0.35,205.65,49.7,24.46,63.2,1.7,1.7
359-U1466A-030F-3-0.71,206.01,56.2,26.571,53.2,2.5,6.3
342-U1405A-023H-1-0.38,206.08,78.9,17.55,45.6,-0.2,-0.6
342-U1404A-024H-2-0.38,206.18,56.3,41.99,47.0,3.1,10.4
342-U1407A-025X-3-0.68,206.34,54.8,4.19,66.0,5.3,11.8
194-1194B-012R-1-0.52,206.52,46.8,26.2,51.59,-1.74,10.23
194-1194B-012R-1-0.52,206.52,46.8,26.2,51.59,-1.74,10.23
342-U1411B-024X-1-0.38,206.58,57.4,34.28,38.2,-0.6,4.0
342-U1408A-023X-6-0.62,206.62,54.9,25.34,59.1,-0.4,-0.9
194-1195B-022H-6-0.8,206.65,68.1,27.8,57.11,-1.16,12.68
317-U1352B-023H-6-0.49,206.69,47.8,34.12,37.0,0.9,-0.3
342-U1410A-022X-6-0.38,206.88,53.5,28.52,51.8,-0.9,1.2
342-U1410A-022X-6-0.38,206.88,53.5,28.52,51.8,-0.9,1.2
359-U1468A-034F-1-0.53,207.03,51.5,13.806,54.5,2.0,11.6
359-U1468A-034F-1-0.53,207.03,51.5,13.806,54.5,2.0,11.6
342-U1406A-023H-6-0.35,207.15,50.1,27.52,62.1,1.8,3.4
317-U1352B-023H-6-1.08,207.28,47.4,56.9,41.7,0.1,-1.8
359-U1467B-024H-2-1.04,207.44,56.6,22.62,50.7,0.7,8.4
342-U1405A-023H-2-0.38,207.58,77.6,19.79,40.6,0.0,-1.1
342-U1404A-024H-3-0.38,207.68,57.8,42.55,48.9,3.4,13.7
359-U1466A-031F-1-0.75,207.75,46.4,22.604,55.7,2.4,8.5
359-U1466A-031F-1-0.75,207.75,46.4,22.604,55.7,2.4,8.5
359-U1471A-023H-3-0.75,207.85,52.6,18.381,42.9,1.2,3.9
342-U1411B-024X-2-0.38,208.08,53.9,35.53,47.8,0.3,-0.6
342-U1410A-022X-7-0.11,208.11,50.7,24.12,60.9,-0.4,-1.7
342-U1408A-024X-1-0.31,208.41,58.5,25.92,52.7,-1.1,0.8
359-U1470B-006R-1-0.81,208.51,32.0,29.661,53.1,5.5,7.5
194-1195B-023X-1-0.8,208.7,67.4,23.6,55.18,-0.66,11.78
342-U1405A-023H-3-0.38,209.08,79.6,17.27,47.4,-0.3,-1.0
342-U1404A-024H-4-0.38,209.18,53.8,33.99,66.3,1.5,1.5
359-U1466A-031F-2-0.74,209.24,49.9,23.701,,2.4,10.9
342-U1410A-023X-1-0.83,209.33,51.1,32.16,66.3,-0.5,-2.6
342-U1410A-023X-1-0.83,209.33,51.1,32.16,66.3,-0.5,-2.6
317-U1352B-024H-1-1.14,209.34,43.5,50.366,50.0,-0.1,-0.7
359-U1468A-034F-3-0.68,209.39,54.0,16.721,51.7,1.7,11.7
342-U1411B-024X-3-0.38,209.58,53.4,36.49,42.5,1.1,-1.3
342-U1408A-024X-2-0.1,209.7,54.9,22.49,56.2,-0.2,0.0
359-U1467B-024H-4-0.73,210.13,58.0,26.791,43.7,0.8,8.1
194-1195B-023X-2-0.8,210.2,64.7,21.0,42.15,-0.04,6.44
342-U1410A-023X-2-0.47,210.47,49.2,14.85,80.2,0.1,-3.3
342-U1405A-023H-4-0.38,210.58,78.7,17.78,44.9,0.3,0.6
342-U1405A-023H-4-0.38,210.58,78.7,17.78,44.9,0.3,0.6
359-U1466A-031F-3-0.62,210.62,49.3,23.408,56.7,2.5,9.8
342-U1404A-024H-5-0.32,210.62,56.9,34.33,56.8,1.7,7.2
342-U1403A-025X-1-0.93,210.63,60.2,15.34,50.3,0.9,5.8
194-1193A-039X-1-0.68,210.68,51.7,18.2,62.79,0.36,10.99
359-U1471A-023H-5-0.74,210.84,54.2,35.274,50.9,1.3,10.0
342-U1411B-024X-4-0.38,211.08,54.4,37.4,39.1,0.4,1.9
342-U1408A-024X-3-0.41,211.51,55.8,23.68,47.2,-0.4,-0.2
342-U1403A-025X-2-0.62,211.82,56.3,15.65,47.9,2.7,17.7
342-U1410A-023X-3-0.35,211.85,54.5,10.28,83.9,0.9,-5.0
359-U1468A-035F-1-0.73,211.93,51.3,21.918,46.7,1.6,9.1
342-U1404A-024H-6-0.22,212.02,56.2,43.84,56.0,0.2,5.5
342-U1405A-023H-5-0.38,212.08,78.3,18.35,48.9,1.1,-0.6
317-U1352B-024H-3-1.14,212.34,49.3,50.663,39.8,0.8,-3.0
359-U1466A-032F-1-0.74,212.44,48.6,24.694,56.4,2.8,9.8
359-U1467B-024H-6-0.22,212.62,58.8,21.851,47.6,1.2,8.0
359-U1467B-024H-6-0.22,212.62,58.8,21.851,47.6,1.2,8.0
194-1192A-026H-1-0.8,212.8,58.2,22.0,55.44,-0.41,11.74
194-1192A-026H-1-0.8,212.8,58.2,22.0,55.44,-0.41,11.74
342-U1408A-024X-4-0.44,213.04,54.3,22.73,60.5,-0.1,-1.8
342-U1408A-024X-4-0.44,213.04,54.3,22.73,60.5,-0.1,-1.8
342-U1404A-025H-1-0.38,213.18,54.1,42.91,49.0,3.4,10.9
342-U1404A-025H-1-0.38,213.18,54.1,42.91,49.0,3.4,10.9
317-U1354C-019X-1-1.48,213.28,42.7,59.858,49.6,-1.3,1.0
359-U1471A-023H-7-0.31,213.41,55.2,23.654,49.8,1.6,9.8
342-U1410A-023X-4-0.43,213.43,50.3,17.29,66.4,-0.2,-2.5
194-1196B-039Z-1-0.47,213.57,14.2,15.6,61.97,3.04,13.26
342-U1405A-023H-6-0.38,213.58,79.5,18.36,35.8,-0.4,1.4
194-1192A-026H-2-0.2,213.7,53.0,28.6,56.59,-0.8,10.18
342-U1403A-025X-3-1.16,213.86,63.3,28.06,45.2,10.1,10.9
359-U1466A-032F-2-0.69,213.89,47.6,20.098,56.5,2.7,11.9
359-U1468A-035F-3-0.52,214.0,49.5,22.093,52.2,2.4,10.5
359-U1471A-024H-1-0.75,214.35,52.5,25.248,53.4,1.6,9.1
359-U1471A-024H-1-0.75,214.35,52.5,25.248,53.4,1.6,9.1
342-U1408A-024X-5-0.35,214.45,55.4,27.14,50.8,-1.1,1.5
342-U1404A-025H-2-0.38,214.68,57.0,41.53,52.5,1.3,7.6
342-U1410A-023X-5-0.38,214.88,53.1,6.93,71.4,1.3,2.1
342-U1403A-025X-4-0.72,214.92,59.3,23.91,50.2,8.2,18.1
359-U1466A-032F-3-0.61,215.31,58.2,19.218,58.1,2.8,12.4
359-U1466A-032F-3-0.61,215.31,58.2,19.218,58.1,2.8,12.4
317-U1352B-024H-5-1.14,215.34,48.2,49.666,42.2,0.4,-2.6
342-U1403A-026X-1-1.06,215.56,62.3,32.11,40.4,14.0,30.5
342-U1405A-024H-1-0.38,215.58,77.8,16.92,41.1,-0.6,0.5
342-U1404A-025H-3-0.38,216.18,57.3,46.68,47.5,1.4,10.5
194-1192A-026H-3-1.2,216.2,59.0,22.8,56.38,-0.22,11.16
342-U1411B-025X-1-0.43,216.23,54.3,32.39,32.3,1.7,2.0
342-U1403A-025X-5-0.68,216.38,60.8,27.03,52.4,10.1,11.2
342-U1410A-023X-6-0.41,216.41,57.2,6.73,77.2,0.2,-3.5
359-U1467B-025H-2-0.74,216.64,56.9,16.494,48.9,1.2,6.7
342-U1403A-026X-2-0.83,216.83,56.9,22.61,58.0,11.4,17.4
359-U1468A-037F-1-0.79,216.99,51.4,26.224,41.5,2.1,2.1
317-U1353B-045H-1-0.91,217.01,40.7,64.687,44.0,-0.9,0.9
342-U1405A-024H-2-0.38,217.08,77.1,18.79,40.2,-0.1,0.9
359-U1466A-033F-1-0.75,217.15,56.1,20.394,52.1,2.5,10.0
342-U1403A-025X-6-0.1,217.3,56.3,29.07,59.9,0.6,7.6
359-U1471A-024H-3-0.8,217.4,56.0,41.424,51.0,1.8,9.3
359-U1470B-007R-1-0.16,217.56,15.9,18.999,50.6,5.2,5.0
342-U1404A-025H-4-0.29,217.59,57.1,42.48,52.6,0.4,5.2
342-U1411B-025X-2-0.38,217.68,53.0,34.63,41.1,0.1,1.0
317-U1353B-045H-2-0.1,217.7,40.6,62.409,44.0,-0.8,1.1
342-U1410A-023X-7-0.29,217.79,53.5,8.0,76.7,0.4,0.3
317-U1352B-024H-7-0.69,217.89,47.5,35.978,36.3,1.3,-1.7
194-1195B-024X-1-0.5,218.0,67.6,19.4,43.94,-0.29,8.24
194-1195B-024X-1-0.5,218.0,67.6,19.4,43.94,-0.29,8.24
342-U1408A-025X-1-0.36,218.06,56.6,26.23,54.8,-0.6,0.1
342-U1406A-026X-1-0.38,218.08,50.3,18.11,63.6,2.1,6.0
342-U1406A-026X-1-0.38,218.08,50.3,18.11,63.6,2.1,6.0
342-U1403A-026X-3-0.8,218.3,59.3,13.76,71.6,0.1,4.0
342-U1403A-026X-3-0.8,218.3,59.3,13.76,71.6,0.1,4.0
342-U1410A-024X-1-0.42,218.42,55.9,4.79,83.7,1.1,-1.6
342-U1405A-024H-3-0.38,218.58,78.8,18.66,46.0,-0.1,-0.6
359-U1466A-033F-2-0.74,218.64,46.1,21.081,52.4,3.0,12.6
194-1192A-026H-5-0.8,218.8,60.6,24.6,55.77,-0.42,9.93
342-U1404A-025H-5-0.09,218.89,58.2,41.09,51.6,2.2,9.9
317-U1351B-027X-1-0.745,219.14,43.0,62.038,47.3,-0.9,-0.8
342-U1411B-025X-3-0.38,219.18,55.5,31.78,50.9,0.0,2.5
359-U1468A-037F-3-0.43,219.22,45.7,27.326,49.2,2.0,12.1
342-U1403A-026X-4-0.4,219.4,61.3,15.05,60.2,10.5,20.2
342-U1406A-026X-2-0.38,219.58,48.6,17.81,63.1,0.9,4.2
359-U1467B-025H-4-0.78,219.68,58.0,14.738,46.5,1.0,7.0
359-U1467B-025H-4-0.78,219.68,58.0,14.738,46.5,1.0,7.0
342-U1408A-025X-2-0.51,219.71,54.3,28.18,55.0,-0.5,-1.0
194-1195B-024X-2-0.8,219.8,61.6,18.2,49.97,-0.36,7.37
317-U1352B-025H-2-0.7,219.9,39.3,46.058,42.6,0.4,-2.2
342-U1410A-024X-2-0.43,219.93,57.4,4.83,83.7,0.4,-3.0
359-U1466A-033F-3-0.61,220.01,57.5,20.671,50.9,3.1,6.2
359-U1466A-033F-3-0.61,220.01,57.5,20.671,50.9,3.1,6.2
342-U1405A-024H-4-0.38,220.08,78.7,19.26,38.0,-0.6,2.8
317-U1352B-025H-2-0.92,220.12,42.2,49.075,46.6,-0.2,-1.8
194-1192A-026H-6-0.8,220.3,58.1,20.0,45.35,-0.2,8.48
194-1193A-041X-1-0.8,220.4,42.2,28.8,44.38,-1.36,5.36
359-U1471A-024H-5-0.99,220.59,51.8,26.767,48.0,1.6,9.7
317-U1351B-027X-2-0.745,220.64,43.8,61.998,46.9,-1.4,0.1
342-U1411B-025X-4-0.38,220.68,54.8,33.76,44.4,-0.5,1.7
342-U1411B-025X-4-0.38,220.68,54.8,33.76,44.4,-0.5,1.7
342-U1406A-026X-3-0.12,220.82,48.3,17.04,70.6,1.1,2.3
342-U1404A-026H-1-0.38,220.88,58.9,46.89,50.2,1.4,7.3
194-1192A-026H-7-0.2,221.2,58.0,23.4,59.44,-0.3,10.42
342-U1403A-026X-5-0.72,221.22,54.6,18.42,65.1,8.7,21.2
317-U1353B-046H-2-0.22,221.28,42.7,52.766,41.2,-1.0,1.9
342-U1405A-024H-5-0.17,221.37,74.7,21.45,38.2,-1.4,4.0
342-U1410A-024X-3-0.43,221.43,55.5,5.18,84.4,0.8,-2.2
194-1195B-024X-3-0.94,221.44,62.8,19.6,49.2,-0.44,7.21
194-1193A-041X-2-0.4,221.5,44.2,31.6,45.69,-0.87,6.74
342-U1408A-025X-3-0.81,221.51,52.2,23.71,57.7,-1.6,-0.3
359-U1466A-034F-1-0.74,221.84,49.2,21.828,48.5,3.3,12.0
342-U1411B-025X-5-0.11,221.91,51.0,34.22,43.7,0.7,1.7
342-U1403A-026X-6-0.09,222.09,54.9,22.33,60.4,6.7,18.7
342-U1405A-024H-6-0.38,222.29,76.2,22.01,47.6,0.3,-0.4
194-1192A-027H-1-0.8,222.3,58.9,22.4,57.489999999999995,-0.42000000000000004,11.085
359-U1467B-025H-6-0.46,222.36,57.9,17.015,48.2,1.4,5.1
342-U1404A-026H-2-0.38,222.38,57.4,46.85,53.1,0.4,3.3
342-U1408A-025X-4-0.19,222.39,50.7,26.89,60.0,-0.6,-1.5
317-U1353B-046H-3-0.22,222.78,42.3,57.826,34.9,-0.4,1.1
342-U1410A-024X-4-0.29,222.79,56.3,4.92,79.3,,-2.8
194-1195B-024X-4-0.8,222.8,64.4,18.2,54.96,-0.53,10.61
317-U1352B-025H-4-0.7,222.9,47.2,51.525,44.5,-0.4,-1.7
317-U1352B-025H-4-0.7,222.9,47.2,51.525,44.5,-0.4,-1.7
359-U1468A-038F-2-0.52,222.92,50.5,24.106,52.1,2.4,13.1
359-U1471A-024H-7-0.38,222.98,58.6,21.424,48.7,1.4,10.4
342-U1407A-027X-1-0.77,223.07,59.2,3.56,58.9,5.4,8.2
342-U1406A-027X-1-0.38,223.18,50.5,21.21,63.2,0.9,0.1
359-U1466A-034F-2-0.74,223.33,51.7,20.491,52.9,2.7,11.0
317-U1351B-027X-4-0.535,223.44,41.8,58.993,43.0,-1.3,0.3
342-U1403A-026X-7-0.25,223.51,54.1,10.27,59.9,9.0,23.7
342-U1405A-024H-7-0.25,223.62,75.9,19.54,40.2,-0.8,2.3
194-1196B-042Z-1-0.24,223.74,33.0,15.6,61.97,3.04,13.26
194-1196B-042Z-1-0.24,223.74,33.0,15.6,61.97,3.04,13.26
359-U1471A-025H-1-0.7,223.8,55.6,19.934,48.6,1.6,11.3
194-1195B-024X-5-0.36,223.86,61.4,22.8,61.09,-0.75,9.88
342-U1404A-026H-3-0.38,223.88,51.1,40.45,55.6,1.0,3.4
194-1192A-027H-2-0.9,223.9,55.1,23.0,28.95,0.14,6.51
342-U1408A-025X-5-0.23,223.93,50.4,19.87,61.5,-0.2,-1.8
359-U1466A-034F-3-0.22,224.14,49.0,20.874,54.6,2.8,10.4
359-U1466A-034F-3-0.22,224.14,49.0,20.874,54.6,2.8,10.4
342-U1410A-024X-5-0.37,224.37,52.3,5.36,82.4,2.3,-1.0
342-U1403A-027X-1-0.21,224.41,56.0,11.4,62.1,9.0,20.2
342-U1406A-027X-2-0.38,224.68,47.8,16.36,66.1,0.5,1.0
342-U1407A-027X-2-0.93,224.73,66.3,3.85,64.5,5.5,6.4
342-U1405A-025H-1-0.38,225.08,75.2,19.07,38.2,-0.6,4.0
317-U1351B-027X-5-0.695,225.1,39.5,57.165,38.6,-1.0,0.6
194-1195B-024X-6-0.2,225.2,62.9,,58.7,-0.57,11.14
194-1192A-027H-3-0.8,225.3,52.7,25.6,33.35,0.09,5.23
194-1192A-027H-3-0.8,225.3,52.7,25.6,33.35,0.09,5.23
342-U1404A-026H-4-0.38,225.38,58.2,43.32,48.5,1.1,8.6
342-U1408A-025X-6-0.24,225.44,51.1,24.05,84.3,0.8,-4.9
342-U1411B-026X-1-0.38,225.78,51.4,34.64,42.3,-0.3,-1.1
317-U1352B-025H-6-0.7,225.9,49.8,47.618,44.0,0.6,-1.1
317-U1351B-027X-6-0.435,225.94,42.3,66.504,45.8,-2.1,1.2
342-U1410A-024X-6-0.44,225.94,43.5,4.88,71.4,1.0,-1.5
317-U1351B-027X-6-0.435,225.94,42.3,66.504,45.8,-2.1,1.2
317-U1353B-047H-1-0.21,226.01,34.0,9.058,29.6,1.2,-2.2
342-U1407A-027X-3-0.73,226.03,53.3,5.49,62.9,6.1,8.5
359-U1467B-026H-2-0.67,226.07,60.2,26.428,47.2,1.4,6.1
342-U1406A-027X-3-0.38,226.18,48.7,19.86,64.7,0.9,0.8
359-U1466A-035F-1-0.61,226.41,49.8,19.498,42.2,2.4,7.3
342-U1408A-025X-7-0.24,226.44,49.1,13.96,69.5,-0.1,-3.1
359-U1468A-039X-1-0.85,226.45,49.0,23.207,40.8,1.9,4.8
342-U1405A-025H-2-0.38,226.58,75.2,22.23,37.5,-1.6,2.5
342-U1404A-026H-5-0.25,226.75,59.5,43.13,44.9,-1.0,5.9
359-U1471A-025H-3-0.69,226.79,54.6,19.411,45.6,1.8,7.9
194-1192A-027H-4-0.8,226.8,51.4,20.4,28.17,0.08,4.28
342-U1403A-027X-2-1.28,226.98,56.7,14.1,59.4,8.2,22.3
342-U1403A-027X-2-1.28,226.98,56.7,14.1,59.4,8.2,22.3
342-U1411B-026X-2-0.38,227.28,51.8,33.81,44.8,-0.4,-0.3
342-U1408A-026X-1-0.02,227.32,51.4,7.32,65.3,-1.5,-1.0
359-U1466A-035F-2-0.11,227.41,50.0,17.836,42.7,2.5,5.8
342-U1407A-027X-4-0.71,227.51,52.6,3.9,79.3,8.1,7.3
194-1195B-025X-1-0.53,227.63,56.3,20.2,56.4,-1.08,9.0
342-U1406A-027X-4-0.38,227.68,49.7,22.57,65.3,0.6,0.9
342-U1410A-025X-1-0.28,227.78,55.5,4.04,82.3,4.5,1.1
342-U1404A-026H-6-0.15,227.85,58.7,40.27,45.5,-0.8,4.6
317-U1352B-026H-1-0.7,227.9,44.9,53.312,46.7,-0.3,-1.3
342-U1403A-027X-3-0.73,227.93,57.2,12.96,46.8,7.7,24.2
342-U1405A-025H-3-0.38,228.08,77.2,22.47,45.1,1.6,-0.9
342-U1408A-026X-2-0.49,228.48,47.2,8.71,68.8,-0.3,1.0
317-U1351B-028X-1-0.5,228.5,47.6,54.827,46.8,-1.5,0.4
342-U1411B-026X-3-0.38,228.78,50.4,32.49,52.6,0.9,-3.2
359-U1466A-035F-3-1.12,228.82,50.9,19.779,51.1,2.4,11.1
359-U1466A-035F-3-1.12,228.82,50.9,19.779,51.1,2.4,11.1
342-U1404A-027H-1-0.38,228.98,59.8,39.62,49.9,-1.4,0.5
317-U1353B-048H-1-0.34,229.14,43.9,5.792,33.2,0.2,-0.6
342-U1406A-027X-5-0.38,229.18,50.5,20.87,59.2,-0.4,3.2
359-U1467B-026H-4-0.8,229.2,57.6,13.784,51.4,1.0,7.6
359-U1467B-026H-4-0.8,229.2,57.6,13.784,51.4,1.0,7.6
342-U1407A-027X-5-1.0,229.3,54.4,4.78,78.5,5.2,5.7
194-1195B-025X-2-0.8,229.4,66.3,16.6,60.14,-0.54,11.38
342-U1405A-025H-4-0.38,229.58,74.9,23.01,45.5,-0.2,0.0
342-U1403A-027X-4-0.93,229.63,54.9,12.97,57.1,7.7,19.1
359-U1471A-025H-5-0.68,229.78,54.7,23.138,37.9,1.4,5.1
342-U1408A-026X-3-0.45,229.94,53.5,16.05,60.6,-1.3,6.3
342-U1407A-027X-6-0.18,229.98,51.5,8.98,80.1,0.6,-0.9
194-1193A-043X-1-0.8,230.0,39.5,31.6,48.51,-1.3,4.51
317-U1351B-028X-2-0.5,230.0,45.1,56.927,45.2,-1.3,0.5
342-U1411B-026X-4-0.38,230.28,50.2,32.03,47.2,0.8,-2.5
342-U1404A-027H-2-0.38,230.48,56.9,42.59,47.9,-1.4,1.9
342-U1406A-027X-6-0.38,230.68,51.8,21.95,52.0,-0.8,2.2
194-1195B-025X-3-0.8,230.9,55.3,19.2,57.97,-0.89,11.82
342-U1405A-025H-5-0.38,231.08,74.1,23.46,41.1,-1.3,2.6
342-U1403A-027X-5-0.94,231.14,59.9,11.28,50.3,7.2,17.8
317-U1352B-026H-3-1.09,231.21,46.8,52.606,50.2,0.0,-2.2
359-U1466A-037X-1-0.69,231.29,42.8,24.924,48.5,2.7,5.7
317-U1351B-028X-3-0.5,231.5,43.0,59.71,38.2,-1.6,0.4
194-1193A-043X-2-0.8,231.5,55.7,28.6,45.3,-1.42,5.26
194-1192B-009X-2-0.7,231.6,55.2,19.6,57.23,0.11,11.79
342-U1408A-026X-4-0.62,231.61,52.5,4.74,80.6,2.5,0.5
342-U1406A-027X-7-0.24,231.76,54.4,19.25,62.5,-0.4,1.9
342-U1411B-026X-5-0.38,231.78,51.7,28.85,44.5,0.2,-0.6
342-U1404A-027H-3-0.38,231.98,58.9,45.79,52.6,-0.7,1.3
359-U1467B-026H-6-0.7,232.1,56.4,17.638,48.2,1.5,6.8
317-U1352B-026H-4-0.7,232.32,47.4,50.055,41.2,-0.1,-0.8
