DEPTH_WMSF,HCGR,HFK,HTHO,HURA,IDPH,IMPH,SFLU,lithology
191.7928,85.257,2.6671,11.7233,1.8337,1.2625,1.2807,1.1578,Mud
191.9452,83.5789,2.5899,11.6369,1.947,1.2641,1.3034,1.1446,Mud
192.0976,81.8941,2.4891,11.6872,2.0275,1.2658,1.3148,1.1264,Mud
192.25,78.9924,2.343,11.6121,1.9512,1.2684,1.3136,1.1172,Mud
192.4024,75.8419,2.2392,11.2095,2.0935,1.2732,1.3047,1.1155,Mud
192.5548,74.7677,2.1646,11.3019,2.0156,1.2812,1.2946,1.1162,Mud
192.7072,73.5398,2.1035,11.2656,1.8518,1.2912,1.2878,1.1158,Mud
192.8596,72.152,2.0631,11.0572,2.1831,1.2967,1.2858,1.1164,Mud
193.012,73.8571,2.0679,11.5757,1.9659,1.2939,1.2874,1.1174,Mud
193.1644,75.7794,2.112,11.9339,1.8663,1.2867,1.2906,1.1194,Mud
193.3168,75.7441,2.1063,11.9561,1.7456,1.2805,1.2931,1.1238,Mud
193.4692,76.5663,2.1448,11.9945,1.9318,1.2759,1.2934,1.1229,Mud
193.6216,78.2753,2.1997,12.2208,1.7384,1.272,1.2912,1.1143,Mud
193.774,78.776,2.1664,12.5762,1.7281,1.2693,1.2872,1.1096,Mud
193.9264,76.3467,2.1654,11.8035,1.7868,1.2679,1.2824,1.0992,Mud
194.0788,74.3218,2.1087,11.4858,1.8521,1.2661,1.2774,1.0871,Mud
194.2312,72.141,2.0663,11.0348,1.9956,1.264,1.2727,1.0945,Mud
194.3836,71.0593,2.0255,10.9269,2.0741,1.2618,1.2683,1.0938,Mud
194.536,71.7447,2.0764,10.8485,1.9612,1.2593,1.2635,1.0894,Mud
194.6884,69.7321,2.0274,10.4905,2.1997,1.2551,1.2566,1.0845,Mud
194.8408,69.3252,2.0772,10.0681,2.4396,1.2478,1.2462,1.0752,Mud
194.9932,68.5015,2.0442,9.9975,2.5672,1.2373,1.2326,1.0604,Mud
195.1456,70.7834,2.0879,10.473,2.5981,1.2283,1.2187,1.0459,Mud
195.298,69.1018,2.0419,10.2033,2.8192,1.2235,1.2085,1.0372,Mud
195.4504,68.5451,2.0587,9.9264,2.9228,1.2206,1.2047,1.0291,Mud
195.6028,65.7444,1.9688,9.5549,2.8385,1.2187,1.2078,1.0361,Mud
195.7552,67.8629,1.9913,10.1024,2.6854,1.2174,1.216,1.054,Mud
195.9076,67.8087,2.0207,9.9129,2.5757,1.2178,1.2261,1.0653,Mud
196.06,68.8238,2.1032,9.7553,2.7974,1.219,1.2345,1.0613,Mud
196.2124,65.7878,2.0091,9.3325,2.8639,1.2205,1.2389,1.0628,Mud
196.3648,67.1665,2.0476,9.5495,2.7831,1.2216,1.2385,1.0676,Mud
196.5172,66.7203,2.0047,9.6573,2.4963,1.2221,1.2343,1.0685,Mud
196.6696,68.5043,2.0674,9.8625,2.5908,1.2225,1.2289,1.0647,Mud
196.822,69.6885,2.0704,10.2244,2.6935,1.2234,1.2256,1.045,Mud
196.9744,71.4997,2.1147,10.546,2.5762,1.2243,1.2271,1.039,Mud
197.1268,71.1072,2.0678,10.6944,2.3571,1.2261,1.2336,1.046,Mud
197.2792,68.6592,2,10.3064,2.358,1.2301,1.2429,1.0544,Mud
197.4316,67.4689,2.0372,9.707,2.3932,1.2329,1.251,1.0712,Mud
197.584,67.04,2.0026,9.772,2.396,1.2359,1.2549,1.0841,Mud
197.7364,69.1308,1.9976,10.4722,2.0664,1.2405,1.255,1.0894,Mud
197.8888,68.9255,1.9445,10.7167,1.8797,1.2474,1.2538,1.0885,Mud
198.0412,68.0643,1.9102,10.6416,1.9417,1.2526,1.254,1.0884,Mud
198.1936,67.677,1.8866,10.6554,1.962,1.2494,1.2568,1.0916,Mud
198.346,70.3938,1.9788,10.9867,1.9394,1.2431,1.2611,1.0965,Mud
198.4984,71.8857,2.0212,11.2172,2.0446,1.2351,1.2641,1.0958,Mud
198.6508,71.3659,2.0429,10.9236,2.0779,1.2277,1.2627,1.0878,Mud
198.8032,69.0701,1.9907,10.4929,2.0145,1.2167,1.2559,1.0609,Mud
198.9556,68.8377,1.9772,10.4973,2.0478,1.208,1.2444,1.0499,Mud
199.108,69.9965,2.0047,10.7079,2.1473,1.2035,1.2296,1.0392,Mud
199.2604,70.9792,2.062,10.6876,2.441,1.1993,1.2134,1.0381,Mud
199.4128,69.6796,2.0525,10.3265,2.6311,1.1967,1.1978,1.0286,Mud
199.5652,67.1859,2.0177,9.7307,2.6915,1.1948,1.1858,1.0274,Mud
199.7176,64.4619,1.9702,9.135,2.6371,1.1931,1.1807,1.0225,Mud
199.87,62.3186,1.9189,8.7483,2.736,1.1921,1.184,1.0282,Mud
200.0224,63.6524,1.9131,9.2098,2.731,1.1927,1.1937,1.0411,Mud
200.1748,65.107,1.9684,9.3524,2.5465,1.1938,1.2049,1.055,Mud
200.3272,65.5925,1.9741,9.4751,2.5839,1.1956,1.2119,1.068,Mud
200.4796,63.0073,1.9254,8.9312,2.7199,1.1966,1.2119,1.0666,Mud
200.632,63.2029,1.9044,9.1166,2.6239,1.1981,1.2059,1.0656,Mud
200.7844,64.291,1.882,9.597,2.5571,1.199,1.1979,1.0647,Mud
200.9368,65.1149,1.8972,9.7719,2.3664,1.2067,1.1912,1.0585,Mud
201.0892,64.9934,1.8767,9.8533,2.4072,1.2207,1.1876,1.0562,Mud
201.2416,64.5254,1.8549,9.8308,2.32,1.2323,1.1879,1.0548,Mud
201.394,63.6126,1.7848,9.9485,2.3405,1.2362,1.194,1.0569,Mud
201.5464,61.2761,1.7034,9.6757,2.2529,1.2333,1.2078,1.0493,Mud
201.6988,59.5801,1.7166,9.0544,2.1317,1.2335,1.2283,1.0787,Mud
201.8512,57.4985,1.6551,8.7473,2.2553,1.2401,1.2493,1.1547,Mud
202.0036,57.0472,1.6482,8.643,2.3949,1.2485,1.2624,1.1231,Mud
202.156,58.2164,1.7016,8.7054,2.6242,1.2561,1.2633,1.0636,Mud
202.3084,60.3128,1.7646,9.0083,2.6614,1.264,1.2576,1.0903,Mud
202.4608,60.6278,1.7883,8.9707,2.6233,1.2759,1.2582,1.1489,Mud
202.6132,58.1428,1.6722,8.8538,2.5935,1.2937,1.2782,1.1803,Mud
202.7656,57.3044,1.6891,8.4856,2.713,1.3175,1.3247,1.2187,Mud
